County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Orange,Plant,Flowering Plants,Sedges,Carex shortiana,Short's Sedge,2008,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Sedges,Carex straminea,Straw Sedge,1998,Endangered,not listed,S1,G5,Possible but not Confirmed
Orange,Plant,Flowering Plants,Sedges,Carex striatula,Lined Sedge,1994,Endangered,not listed,SH,G4G5,Possible but not Confirmed
Orange,Plant,Flowering Plants,Sedges,Carex styloflexa,Bent Sedge,not available,Endangered,not listed,S1,G4G5,Historically Confirmed
Orange,Plant,Flowering Plants,Sedges,Carex typhina,Cat-tail Sedge,1992,Endangered,not listed,S2,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Castilleja coccinea,Scarlet Indian-paintbrush,1924,Endangered,not listed,S1,G5,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Chamaelirium luteum,Fairywand,1846,Endangered,not listed,S1S2,G5,Historically Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Crotalaria sagittalis,Rattlebox,2003,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Sedges,Cyperus echinatus,Globose Flatsedge,2011,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Sedges,Cyperus subsquarrosus,Dwarf Bulrush,1999,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Desmodium obtusum,Stiff Tick Trefoil,1998,Endangered,not listed,S1,G4G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Elatine americana,American Waterwort,2011,Endangered,not listed,S1,G4,Recently Confirmed
Orange,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,not available,Endangered,not listed,S1S2,G5,Possible but not Confirmed
Orange,Plant,Flowering Plants,Orchids,Isotria medeoloides,Small Whorled Pogonia,2015,Endangered,Threatened,S1,G2?,Recently Confirmed
Orange,Plant,Flowering Plants,Rushes,Juncus debilis,Weak Rush,1998,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Rushes,Juncus subcaudatus,Spreading Rush,1993,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Lactuca hirsuta,Downy Lettuce,not available,Endangered,not listed,S1,G5?,Historically Confirmed
Orange,Plant,Flowering Plants,Orchids,Liparis liliifolia,Large Twayblade,1924,Endangered,not listed,S1,G5,Recently Confirmed
Orange,Plant,Flowering Plants,Other Flowering Plants,Lycopus rubellus,Stalked Bugleweed,2011,Endangered,not listed,S1,G5,Recently Confirmed
